version,date,ui_generation,file_manager,keylogger,password_recovery,registry_manager,remote_screen,webcam,voice_audio,process_manager,network_manager,shell_access,clipboard_manager,application_window_manager,irc_icq_integration,plugin_architecture,notable_difference,evidence_level
1.9 Apocalypse,1999-08,Apocalypse redesign,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Radical visual/structural redesign that retrospective developer history identifies as an important bridge toward 2.0/2.1.x.",release catalog plus developer retrospective
2.0,1999-09,2.x redesign,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,not yet confirmed,not yet confirmed,not yet confirmed,"Major branch transition; shell access is confirmed in surviving 2.0 catalogs and several alternate historical package names survive locally.",release catalog plus local historical file records
2.1,1999-11,Mature 2.1 controller,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,"Large mature feature set documented by a contemporary SANS/GIAC paper citing the Feb-2001 Sub7Files About page; IRC-control/ICQ-era integration becomes part of the lineage.",period source plus release catalog
2.1.1 GOLD,2000-02,2.1.x GOLD,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,"Named GOLD edition. High-level 2.1-era capabilities persist, but a trustworthy exact incremental changelog versus 2.1 remains a research target.",release catalog plus historical package record
2.1.2 M.U.I.E,2000-04,2.1.x M.U.I.E,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,"Named M.U.I.E edition; later classic-source provenance is often associated with the 2.1.2/2.1.3 source tree.",release catalog plus historical package/source provenance
2.1.3 BONUS,2000-06,2.1.x BONUS,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,"Named BONUS edition; historically important because the later illwill GitLab repository labels itself as SubSeven 2.1.3 source while its README describes 2.1.2-era source provenance.",release catalog plus source-repository provenance
2.1.4 DEFCON 8,2000-07,2.1.x DEFCON 8,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,confirmed,not yet confirmed,"Named DEFCON 8 edition; historical distribution records also preserve an XP-labeled 2.1.4 package path.",release catalog plus historical URL/package records
2.2,2001-03,Redesigned modular 2.2,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,"Substantial redesign: more flexible UI, revamped server customization, stronger NT/2000 support, client incompatibility with older servers, expanded network functions and DLL/plugin SDK architecture. Distributed apps include sub7.exe, EditServer.exe, server.exe and sin.exe.",contemporary reporting plus period documentation and release catalog
2.1.5 Legends,2003-02,Legends / late 2.1.x,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,confirmed,not yet confirmed,"Late original-era Mobman release. Surviving package records name SubSeven.exe, server.exe, editserver.exe and ICQMAPI.dll; feature catalog includes voice recording and application/window management.",release catalog plus package documentation
2.3,2010-03 reported,Community continuation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Later continuation separated from the 1999-2003 original line. Exact complete delta and provenance are kept unresolved until stronger primary material is recovered.",later historical reporting; primary delta incomplete
Legacy 0.1 Alpha,2021-2023+,Modern benign Legacy,confirmed,not applicable,not applicable,not applicable,not applicable,not applicable,modern audio dependency,confirmed,not applicable,confirmed,not applicable,confirmed,not applicable,modern modular projects,"DarkCoderSc/Sub7Crew recreation written in Delphi. Official project states malicious functions are omitted; documented benign features include File Manager, Process Manager, Remote Terminal and Windows Session Manager with a 2.2.x-style UX.",official modern source repository
